area
ced01a
ciudad
cod_inf
condact
conglomerado
desempleo
empleo
estrato
fexp
grupo1
hogar
id_hogar
id_persona
id_vivienda
ingpc
ingrl
nnivins
p01
p02
p03
p04
p05a
p05b
p06
p07
p08
p09
p10a
p10b
p11
p12a
p12b
p15
p15aa
p15ab
p20
p21
p22
p23
p232
p233
p24
p25
p26
p27
p28
p29
p30
p31
p32
p33
p34
p35
p36
p37
p38
p39
p40
p41
p42
p42a
p43
p44a
p44b
p44c
p44d
p44e
p44f
p44g
p44h
p44i
p44j
p44k
p45
p46
p47a
p47b
p48
p49
p50
p51a
p51b
p51c
p52
p53
p54
p54a
p55
p56a
p56b
p57
p58
p59
p60a
p60b
p60c
p60d
p60e
p60f
p60g
p60h
p60i
p60j
p60k
p61b1
p63
p64a
p64b
p65
p66
p67
p68a
p68b
p69
p70a
p70b
p71a
p71b
p72a
p72b
p73a
p73b
p74a
p74b
p75
p76
p77
p78
panelm
periodo
rama1
sd01
sd021
sd0210
sd0211
sd022
sd023
sd024
sd025
sd026
sd027
sd028
sd029
sd03
secemp
upm
vivienda
